,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
101,Thu Jun 20 01:02:10 +0000 2024,0,Min @PT_Transjakarta ini 4 sama 4D lewat stasiun Manggarai ada apa ya,1803594156352348496,in,"Tangerang, Banten",0,1,0,faizalaziz_id,Transjakarta
102,Thu Jun 20 00:54:42 +0000 2024,1,Min ada tabeakan bus tj ya di halte gbk jadi muter dulu buat berhenti di gbk @PT_Transjakarta,1803592275311951964,in,"Kota Bandung, Jawa Barat",0,1,0,KataIvan1,Transjakarta
103,Thu Jun 20 00:36:13 +0000 2024,0,Pagi min @PT_Transjakarta utk tj yg jalur ke bsd apa saja ? Makasih,1803587626416357585,in,,0,1,0,rikitrongwag,Transjakarta
104,Thu Jun 20 00:35:15 +0000 2024,0,halte cawang sentral kenapa skrg antriannya lama dan panjang bgt ya..? sebelum2nya ga gini. jujur rugi waktu krn aku udah berangkat sepagi mungkin malah terhambat di satu halte ini bisa 15 menitan lebih?? ada apa ya dari kemarin @PT_Transjakarta,1803587381599281614,in,,0,1,0,kuromizuper,Transjakarta
105,Thu Jun 20 00:20:21 +0000 2024,0,I always feeling not safe if a man ada di daerah area perempuan di tj ((especially ini tj rangkaian 3 pintu)) helppp ugh mereka ngambil lahan area perempuan ;-; @PT_Transjakarta,1803583632780718337,in,Saturn,0,2,0,ilusmoonlight,Transjakarta
106,Thu Jun 20 00:19:50 +0000 2024,0,halte gbk ngapa jadi senayan bang dki dah @PT_Transjakarta,1803583504082681939,in,,0,0,0,aryaseblak,Transjakarta
107,Wed Jun 19 23:59:39 +0000 2024,0,bang @PT_Transjakarta klo naek 4c dari bunsen bole bawa sepeda gak si?,1803578422339527008,in,333,0,0,0,j94got7,Transjakarta
108,Wed Jun 19 23:58:10 +0000 2024,1,JAK 56 NIAT OPERASIONAL GA SIH? 20 MENIT NUNGGU GA LEWAT² SEKALINYA LEWAT MALAY GA BERHENTI DI PALANG BUS STOP @PT_Transjakarta,1803578050233376968,in,JaePil Nation's 🐥🐰,0,2,0,tikahapr_,Transjakarta
109,Wed Jun 19 23:56:29 +0000 2024,0,ni 7b skrg klo pagi lama amat? sekalinya ada udh penuh trus suruh nunggu bus selanjutnya ga dateng2 jg @PT_Transjakarta yg bner la atur jumlah armada,1803577624033370468,in,'O1 愛,0,1,0,yutaverse07,Transjakarta
110,Wed Jun 19 23:28:56 +0000 2024,0,T11 @PT_Transjakarta harus improve lagi deh yang bener aja sekarang tiap nunggu dari Petamburan ataupun Tangerang bisa setengah jam lebih loh gak make sense !!!???,1803570693986230313,in,,0,1,0,sadderdazling,Transjakarta
111,Wed Jun 19 12:21:58 +0000 2024,0,Min mo nanya emg koridor 4 ada perubahan rute kah? @PT_Transjakarta,1803402843262689508,in,,0,3,0,ojodaboninaaa,Transjakarta
112,Wed Jun 19 12:01:22 +0000 2024,0,Petugas mana? Nunggu dr halte GBK. Jurusan rame kok bis 10h satu pintu @PT_Transjakarta https://t.co/BLB69xvBzY,1803397660298416429,in,,0,1,0,ignatiusferry,Transjakarta
