,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
43,Sun Mar 24 15:38:21 +0000 2024,110,jakarta angkot jaklingko hebat gubernur penghargaan it p,1771924520292802588,in,Zihuatanejo ,16,59,35,thedufresne,Jakarta-angkot.csv
44,Fri Apr 26 01:34:40 +0000 2024,0,guys tarif angkot jakarta pemberhentian sampe pemberhentian tu beda beda tarif nomornya,1783671000867160149,in,Indonesia,0,1,0,tanyakanrl,Jakarta-angkot.csv
45,Wed Apr 24 01:30:43 +0000 2024,11,rt banyaknya angkot ngetem ruas jalan margonda raya kepadatan lalin mengarah jakarta elshintanews,1782945230050001025,in,,1,3,2,RadioElshinta,Jakarta-angkot.csv
46,Tue Apr 30 11:13:57 +0000 2024,1,cm adakah bantu isi kuisioner penelitian skripsiku kriterianya ragam transportasi jakarta tj angkot mrt lrt krl e money orang beruntung dm rep yaa barter jugaaa,1785266334236098866,in,,0,25,1,collegemenfess,Jakarta-angkot.csv
47,Mon May 06 10:19:16 +0000 2024,0,ajg gua ombang ambing angkot jakarta,1787426900509589574,in,,0,0,0,taeoxo_jjh,Jakarta-angkot.csv
48,Wed Mar 20 11:18:26 +0000 2024,7,november liburan bandung berangkat whoosh min jakarta lokal baraya angkot rajamandala ka siliwangi ka pangrango krl b line jam kontras v,1770409562304377001,in,"Jakarta Selatan, DKI Jakarta",0,2,1,abu_mahdzuroh,Jakarta-angkot.csv
49,Mon Mar 25 05:18:20 +0000 2024,6,angkot gratis jakarta namanya mikrotrans jaklingko terminologi bener tije transjakarta busway,1772130878338093333,in,Jakarta,1,0,3,joyhenri__,Jakarta-angkot.csv
50,Sun Apr 21 23:35:08 +0000 2024,0,orang kabupaten jakarta maunya diajak angkot,1782191367491649972,in,Condet Mannat perapatan Seoul ,0,1,0,inirini_aja,Jakarta-angkot.csv
51,Mon May 20 11:42:14 +0000 2024,14,sopir angkot jakarta utara dishub dki menepati janjinya mengintegrasikan angkutan reguler jaklingko,1792521209894277448,in,Jakarta,2,4,4,kompascom,Jakarta-angkot.csv
52,Thu Apr 18 05:52:09 +0000 2024,37,jalur khusus bus salah tujuannya mengurangi lajur kendpri jakarta bangun busway penggusuran sengaja diperlebar iya min pembenahan transum udah tmb tmp amp angkot masuk brt lho,1780836698315993310,in,Bandung,3,0,6,tf_bandung,Jakarta-angkot.csv
53,Fri May 10 10:32:31 +0000 2024,3,dips need respondents bantu isi kuisionerku yuk butuh responden deadlinenya besok kriterianya transportasi jakarta mrt krl lrt angkot tj linknya twt saldo rpk orang beruntung,1788879788377334052,in,⬇️BACA RULES JANGAN NGELANGGAR,0,0,0,undipmenfess,Jakarta-angkot.csv
